ID,Assunto,Corpo,Remetente,Data,Rótulo
01ab8a1b-2996-495e-9a6e-26b4c7594191,Empréstimo rápido e sem burocracia,Seu cartão de crédito foi aprovado! Clique no link para ativá-lo.,muellercassidy@example.com,2022-08-19,spam
3ab82044-0550-418e-8115-e407a4a8735c,Novo projeto para revisão,Confirmando nossa reunião agendada para o dia 15 de janeiro.,waretimothy@example.net,2020-08-08,não spam
bec7108f-1d99-4ea3-adc8-ced36f1466fc,Relatório financeiro de dezembro,Segue a nota fiscal de compra da última transação.,brockdustin@example.org,2023-11-21,não spam
0a86aea1-0421-4759-8a75-aef25d141883,Ganhe dinheiro fácil!,Não perca a oportunidade de fazer um investimento de baixo risco e alto retorno. Clique agora!,youngelizabeth@example.com,2022-05-30,spam
9179daa7-e614-4af5-b008-e59003a0b29a,Seu cartão de crédito foi aprovado,Não perca a oportunidade de fazer um investimento de baixo risco e alto retorno. Clique agora!,felliott@example.net,2021-03-16,spam
90e42ea5-cf58-418b-b797-030867f10a5b,Novo projeto para revisão,Segue a agenda da reunião de sexta-feira.,hannahramirez@example.net,2023-04-27,não spam
e2bf2e8a-143f-4f31-9de1-4ed36544eed0,Seu cartão de crédito foi aprovado,Parabéns! Você acaba de ganhar um prêmio de 1 milhão de dólares! Clique aqui para resgatar.,angie27@example.net,2020-05-07,spam
be6250d1-3002-4a60-a151-0b324b431542,Confirmação de reunião,Estou enviando o resumo da reunião de ontem.,rachelstewart@example.com,2020-05-14,não spam
e8d02f5f-e8ed-4cd1-a436-5144022bd118,Seu cartão de crédito foi aprovado,Parabéns! Você acaba de ganhar um prêmio de 1 milhão de dólares! Clique aqui para resgatar.,freemantammy@example.net,2020-11-25,spam
d9689959-46f2-4b15-8fb2-98925ec43d17,Empréstimo rápido e sem burocracia,Não perca a chance de ganhar bitcoins grátis! Cadastre-se agora.,oking@example.org,2023-04-19,spam
699723e9-a7d0-4ab0-bcf4-317fced17c2c,Oferta imperdível!,A sua conta foi comprometida. Clique aqui para atualizar suas informações imediatamente.,misty33@example.com,2021-05-12,spam
e897bb7f-30cc-4a54-a8b5-6ef76f0eddf9,Confirmação de reunião,Estou enviando o resumo da reunião de ontem.,richard06@example.org,2024-03-17,não spam
d82af4db-f26f-45b0-9e37-99814ed52da6,Oferta imperdível!,Ganhe dinheiro fácil e rápido com nosso sistema! Clique agora.,amber03@example.com,2024-01-15,spam
d5bd3e27-fb46-4533-ad5d-557351b91d15,Nota fiscal de compra,"Por favor, veja o relatório de vendas do mês passado.",nfields@example.org,2023-09-30,não spam
b8c4d601-8fb3-4dc5-bb5c-a6206dbb27e3,Confirmação de reunião,"Por favor, revise o documento do novo projeto para aprovação.",xallen@example.net,2021-01-05,não spam
